date,symbol,close_price
12/31/2024,BTC,"93,557.20"
12/30/2024,BTC,"92,779.80"
12/29/2024,BTC,"93,716.30"
12/28/2024,BTC,"95,284.50"
12/27/2024,BTC,"94,275.90"
12/26/2024,BTC,"95,777.70"
12/25/2024,BTC,"99,391.30"
12/24/2024,BTC,"98,668.10"
12/23/2024,BTC,"94,852.10"
12/22/2024,BTC,"95,183.80"
12/21/2024,BTC,"97,253.30"
12/20/2024,BTC,"97,795.70"
12/19/2024,BTC,"97,466.10"
12/18/2024,BTC,"100,197.80"
12/17/2024,BTC,"106,138.90"
12/16/2024,BTC,"106,057.60"
12/15/2024,BTC,"104,443.00"
12/14/2024,BTC,"101,417.70"
12/13/2024,BTC,"101,426.20"
12/12/2024,BTC,"100,009.90"
12/11/2024,BTC,"101,126.20"
12/10/2024,BTC,"96,600.30"
12/9/2024,BTC,"97,359.40"
12/8/2024,BTC,"101,115.80"
12/7/2024,BTC,"99,837.00"
12/6/2024,BTC,"99,760.70"
12/5/2024,BTC,"96,970.80"
12/4/2024,BTC,"98,635.80"
12/3/2024,BTC,"95,898.70"
12/2/2024,BTC,"95,846.60"
12/1/2024,BTC,"97,201.40"
11/30/2024,BTC,"96,405.70"
11/29/2024,BTC,"97,438.00"
11/28/2024,BTC,"95,645.50"
11/27/2024,BTC,"95,886.60"
11/26/2024,BTC,"91,977.60"
11/25/2024,BTC,"93,064.40"
11/24/2024,BTC,"97,935.20"
11/23/2024,BTC,"97,699.00"
11/22/2024,BTC,"98,929.70"
11/21/2024,BTC,"98,374.50"
11/20/2024,BTC,"94,303.90"
11/19/2024,BTC,"92,239.20"
11/18/2024,BTC,"90,478.70"
11/17/2024,BTC,"89,833.70"
11/16/2024,BTC,"90,539.10"
11/15/2024,BTC,"91,046.50"
11/14/2024,BTC,"87,294.00"
11/13/2024,BTC,"90,422.20"
11/12/2024,BTC,"87,941.30"
11/11/2024,BTC,"88,664.10"
11/10/2024,BTC,"80,388.50"
11/9/2024,BTC,"76,700.30"
11/8/2024,BTC,"76,517.30"
11/7/2024,BTC,"75,868.60"
11/6/2024,BTC,"75,586.30"
11/5/2024,BTC,"69,373.70"
11/4/2024,BTC,"67,848.80"
11/3/2024,BTC,"68,769.60"
11/2/2024,BTC,"69,325.80"
11/1/2024,BTC,"69,507.20"
10/31/2024,BTC,"70,281.80"
10/30/2024,BTC,"72,347.80"
10/29/2024,BTC,"72,730.40"
10/28/2024,BTC,"69,954.10"
10/27/2024,BTC,"68,004.60"
10/26/2024,BTC,"67,086.80"
10/25/2024,BTC,"66,696.80"
10/24/2024,BTC,"68,191.50"
10/23/2024,BTC,"66,663.70"
10/22/2024,BTC,"67,427.30"
10/21/2024,BTC,"67,371.30"
10/20/2024,BTC,"69,030.50"
10/19/2024,BTC,"68,372.00"
10/18/2024,BTC,"68,423.10"
10/17/2024,BTC,"67,418.40"
10/16/2024,BTC,"67,617.90"
10/15/2024,BTC,"67,077.50"
10/14/2024,BTC,"66,081.70"
10/13/2024,BTC,"62,870.90"
10/12/2024,BTC,"63,205.10"
10/11/2024,BTC,"62,499.40"
